Numero_TCLE,Estatura,Antebraco,Cotovelo_chao,Joelho_chao,Sexo
1,175,46,67,44,M
2,167,46,63,47,F
3,154,41,66,39,F
4,168,42,64,43,F
5,168,42,68,44,F
6,189,51,71,48,M
7,173,49,71,43,M
8,162,43,70,42,F
9,157,42,64,41,F
10,161,43,70,43,F
11,169,46,61,44,F
12,158,42,65,42,F
13,178,46,74,47,M
14,167,42,65,43,F
15,158,43,63,43,F
16,179,46,69,46,M
17,159,43,61,40,F
18,164,43,63,43,F
19,177,47,69,47,M
20,173,48,63,44,M
21,167,42,64,41,F
22,165,44,63,42,F
23,152,41,54,39,F
24,165,45,67,44,F
25,169,44,64,45,F
26,151,42,57,42,F
27,168,44,62,43,M
28,190,51,74,50,M
29,172,45,70,46,M
30,171,46,62,42,M
31,166,43,60,42,F
32,157,44,59,41,F
33,164,43,62,41,F
34,168,44,66,46,F
35,174,48,69,45,M
36,163,46,59,42,F
37,155,42,61,39,F
38,162,45,61,46,F
39,169,45,64,42,F
40,161,46,59,42,F
41,158,41,61,42,F
